pseudoid,weightnet,vacuumed,quantum,quantumunit,geometry,height,density,massinjar,massinjartare,massinjargross,dryweightnet,dryweightpercent,totalvaporizationamount,totalvaporizationvolume,ashweightnet,amounttoashing,ashconcentration,srcarrierconcentration,srcarriervolume,sievedorganicweight,sievedrocksweight,sieveddryweight
64390,,0,21621.2,m^3,g-11,0.0,1.0,,,,,,,,,,,,,,,
62374,,0,0.09255,kg,g-3,10.0,6.68,92.549,0.0,92.5485,,,,,,,,,,,,
59183,,0,207795.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
62587,,0,0.07474,kg,g-2,1.0,17.38,74.736,27.015,101.7515,,,,,,,,,,,,
74292,,0,0.05186,kg,g-2,1.0,12.06,51.855,27.015,78.8702,,,,,,,,,,,,
78734,,0,229640.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
75095,,0,0.53096,kg,g-1,1.0,0.0,530.96,132.74,663.7,,,,,,,,,,,,
56427,,0,0.52538,kg,g-1,1.0,0.0,525.38,133.42,658.8,,,,,,,,,,,,
60984,,0,20847.7,m^3,g-11,0.0,1.0,,,,,,,,,,,,,,,
56395,1407.8,0,0.01118,kg_kp,g-3,11.0,1.0,,22.41,11.23,12.3,0.87,,,,,,,,,,
72900,,0,0.5413,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
51593,,0,0.5345,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
50993,,0,0.5437,kg,g-1,1.0,0.0,,,,,,,,,,,,,,,
55880,,0,193252.0,m^3,g-14,0.0,1.0,,,,,,,,,,,,,,,
61277,,0,1.0,laaduton,g-6,40.0,0.96,,,,,,,,,,,,,,,
59547,360.0,0,0.0554,kg_kp,g-2,25.0,1.0,,82.4,27.0,116.3,32.31,,,,,,,,,,
78059,,0,0.28345,kg,g-1,27.0,0.0,283.45,137.46,420.91,,,,,,,,,,,,
57661,,0,0.31478,kg,g-1,27.0,0.0,314.78,135.5,450.28,,,,,,,,,,,,
73989,,0,0.27521,kg,g-1,27.0,0.0,275.21,136.84,412.05,,,,,,,,,,,,
75481,,0,0.0004,kg,g-4,0.0,1.0,0.4,2.24,2.64,,,,,,,,,,,,
69845,,0,0.00035,kg,g-4,0.0,1.0,0.35,2.24,2.59,,,,,,,,,,,,
54492,,0,8e-05,kg,g-4,0.0,1.0,0.08,2.27,2.35,,,,,,,,,,,,
65934,,0,0.00022,kg,g-4,0.0,1.0,0.22,2.25,2.47,,,,,,,,,,,,
67656,,0,0.00012,kg,g-4,0.0,1.0,0.12,2.26,2.38,,,,,,,,,,,,
50258,,0,0.0003,kg,g-4,0.0,1.0,0.3,2.28,2.58,,,,,,,,,,,,
71786,,0,0.00043,kg,g-4,0.0,1.0,0.43,2.26,2.69,,,,,,,,,,,,
61641,,0,0.00034,kg,g-4,0.0,1.0,0.34,2.24,2.58,,,,,,,,,,,,
80301,,0,0.0002,kg,g-4,0.0,1.0,0.2,2.24,2.44,,,,,,,,,,,,
51594,,0,0.00035,kg,g-4,0.0,1.0,0.35,2.23,2.58,,,,,,,,,,,,
74063,,0,0.00052,kg,g-4,0.0,1.0,0.52,2.2,2.72,,,,,,,,,,,,
56378,,0,0.00044,kg,g-4,0.0,1.0,0.44,2.33,2.77,,,,,,,,,,,,
52393,,0,0.00013,kg,g-4,0.0,1.0,0.13,2.23,2.36,,,,,,,,,,,,
52015,,0,0.00036,kg,g-4,0.0,1.0,0.36,2.28,2.64,,,,,,,,,,,,
61195,,0,0.00038,kg,g-4,0.0,1.0,0.38,2.4,2.78,,,,,,,,,,,,
57882,,0,0.00052,kg,g-4,0.0,1.0,0.52,2.22,2.74,,,,,,,,,,,,
70617,,0,0.00033,kg,g-4,0.0,1.0,0.33,2.36,2.69,,,,,,,,,,,,
57645,,0,0.00015,kg,g-4,0.0,1.0,0.15,2.33,2.48,,,,,,,,,,,,
51338,,0,0.0046,kg,g-6,0.0,1.0,,,,,,,,,,,,,,,
57544,,0,0.00461,kg,g-6,0.0,1.0,,,,,,,,,,,,,,,
74892,,0,0.01,litra,g-4,28.0,1.0,,,,,,,,,,,,,,,
68414,,0,0.00073,kg,g-4,0.0,1.0,0.73,2.33,3.06,,,,,,,,,,,,
67435,3024.0,0,0.4762,kg,g-1,30.0,1.0,,,,2162.6,71.51,,,,,,,,,,
55800,3024.0,0,0.0171381,kg,g-2,5.0,1.0,,,,2162.6,71.51,,,,,,,,,,
71623,,0,0.00525,kg_kp,g-3,9.0,0.44,,17.49,12.03,5.25,,,,,,,,,,,
60921,,0,0.0095,kg_kp,g-2,5.0,0.46,,36.7,26.91,9.49999999999999,,,,,,,,,,,
64922,,0,152.2,m^3,g-4,0.0,1.0,,,,,,,,,,,,,,,
56469,2684.2,0,0.7139,kg_kp,g-1,30.0,1.32,713.9,132.8,846.7,2603.0,96.97,,,,,,,,,,
54953,,0,162.6,m^3,g-4,0.0,1.0,,,,,,,,,,,,,,,
51958,,0,157.9,m^3,g-4,0.0,1.0,,,,,,,,,,,,,,,
80665,,0,179.5,m^3,g-4,0.0,1.0,,,,,,,,,,,,,,,
58068,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
53969,2574.8,0,0.8742,kg_kp,g-1,30.0,1.62,874.2,136.0,1010.2,2436.0,94.61,,,,,,,,,,
56478,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
72675,,0,0.26013,kg,g-2,26.0,2.24,,286.88,26.75,,,,,,,,,,,,
56125,,0,0.214,kg,g-4,0.0,1.0,,,,,,,,,,,,,,,
76408,,0,23775.7,m^3,g-11,0.0,1.0,,,,,,,,,,,,,,,
52307,2989.85,0,0.45959,kg_kp,g-1,30.0,0.85,459.59,137.09,596.68,2663.05,89.07,,,,,,,,,,
60899,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
61348,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
73810,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
73795,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
61848,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
71877,,0,1.0,,g-4,1.0,1.0,,,,,,,,,,,,,,,
54481,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
53619,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
71976,2276.0,0,,,,,,,,,1579.4,69.39,,,,,,,,,,
53278,2638.5,0,,,,,,,,,1844.9,69.92,,,,,,,,,,
74694,473.32,0,0.15438,kg_kp,g-1,30.0,0.29,154.38,133.59,287.97,215.75,45.58,,,,,,,,10.63,,215.75
53356,661.52,0,0.19064,kg_kp,g-1,30.0,0.35,190.64,132.84,323.48,304.16,45.98,,,,,,,,1.13,0.87,304.16
54101,1073.77,0,0.32862,kg_kp,g-1,30.0,0.61,328.62,132.66,461.28,719.47,67.0,,,,,,,,2.58,48.43,719.47
54360,737.76,0,0.30932,kg_kp,g-1,30.0,0.57,309.32,138.49,447.81,503.55,68.25,,,,,,,,8.48,13.45,
59723,1735.88,0,0.50002,kg_kp,g-1,30.0,0.92,500.02,131.89,631.91,1361.28,78.42,,,,,,,,2.22,92.17,
54891,1844.41,0,0.54144,kg_kp,g-1,30.0,1.0,541.44,132.58,674.02,1470.71,79.74,,,,,,,,,116.05,
61521,1042.77,0,0.51084,kg_kp,g-1,30.0,0.94,510.84,132.86,643.7,902.09,86.51,,,,,,,,,170.67,
66476,1333.65,0,0.55232,kg_kp,g-1,30.0,1.02,552.32,132.8,685.12,1140.01,85.48,,,,,,,,4.7,199.55,
67270,1489.38,0,0.64411,kg_kp,g-1,30.0,1.19,644.11,132.92,777.03,1350.88,90.7,,,,,,,,1.07,350.8,
53206,681.76,0,0.42189,kg_kp,g-1,30.0,0.78,421.89,132.83,554.72,518.27,76.02,,,,,,,,2.65,25.33,
64595,1171.81,0,0.46869,kg_kp,g-1,30.0,0.87,468.69,132.6,601.29,945.63,80.7,,,,,,,,2.95,88.27,
51978,1479.5,0,0.65267,kg_kp,g-1,30.0,1.21,652.67,132.86,785.53,1358.5,91.82,,,,,,,,8.53,140.66,
54501,372.3,0,0.14632,kg_kp,g-1,30.0,0.27,146.32,132.77,279.09,195.49,52.51,,,,,,,,9.08,,
59186,530.72,0,0.17334,kg_kp,g-1,30.0,0.32,173.34,139.15,312.49,280.99,52.95,,,,,,,,3.36,0.0,
51621,737.05,0,0.2125,kg_kp,g-1,30.0,0.39,212.5,132.68,345.18,481.37,65.31,,,,,,,,5.3,31.52,481.37
78557,417.81,0,0.18441,kg_kp,g-1,30.0,0.34,184.41,132.63,317.04,269.61,64.53,,,,,,,,13.49,26.03,269.61
62946,1230.9,0,0.49129,kg_kp,g-1,30.0,0.91,491.29,132.41,623.7,1133.05,92.05,,,,,,,,,365.03,1133.05
50975,306.82,0,0.12237,kg_kp,g-1,30.0,0.23,122.37,132.68,255.05,160.48000000000002,52.3,,,,,,,,5.91,,
59699,412.92,0,0.15031,kg_kp,g-1,30.0,0.28,150.31,132.67,282.98,214.13,51.86,,,,,,,,8.41,,
64683,430.96,0,0.15894,kg_kp,g-1,30.0,0.29,158.94,132.92,291.86,212.39,49.28,,,,,,,,2.59,,
76662,858.42,0,0.41379,kg_kp,g-1,30.0,0.76,413.79,132.76,546.55,484.85,56.48,,,,,,,,19.33,,484.85
51381,1284.58,0,0.55397,kg_kp,g-1,30.0,1.02,553.97,133.2,687.17,840.35,65.42,,,,,,,,0.0,17.18,840.35
69321,2145.29,0,0.74214,kg_kp,g-1,30.0,1.37,742.14,132.84,874.98,1777.11,82.84,,,,,,,,0.0,187.2,1777.11
55832,694.46,0,0.06285,kg_kp,g-1,30.0,0.12,62.85,140.27,203.12,120.32,17.33,,,,,,,,1.27,0.0,120.3
76686,562.29,0,0.06851,kg_kp,g-1,30.0,0.13,68.51,132.68,201.19,90.32,16.06,,,,,,,,0.26,0.0,90.32
61887,389.77,0,0.23492,kg_kp,g-1,30.0,0.43,234.92,140.76,375.68,244.99,62.86,,,,,,,,16.79,,244.99
74678,610.13,0,0.34737,kg_kp,g-1,30.0,0.64,347.37,134.24,481.61,453.73,74.37,,,,,,,,,81.56,453.73
53700,422.25,0,0.1914,kg_kp,g-1,30.0,0.35,191.4,132.8,324.2,221.92,52.56,,,,,,,,18.55,0.0,0.0
60767,1015.12,0,0.29344,kg_kp,g-1,30.0,0.54,293.44,132.76,426.2,660.4200000000001,65.06,,,,,,,,4.77,0.0,0.0
61844,1332.65,0,0.35396,kg_kp,g-1,30.0,0.65,353.96,132.35,486.31,932.7,69.99,,,,,,,,0.74,0.0,0.0
56795,795.63,0,0.60208,kg_kp,g-1,30.0,1.11,602.08,140.85,742.93,628.66,79.01,,,,,,,,,25.75,
64827,947.5,0,0.72032,kg_kp,g-1,30.0,1.33,720.32,136.95,857.27,788.63,83.23,,,,,,,,,11.07,
59794,2058.54,0,0.8395,kg_kp,g-1,30.0,1.55,839.5,136.6,976.1,1740.34,84.54,,,,,,,,,64.25,
60132,2545.52,0,0.84704,kg_kp,g-1,30.0,1.57,847.04,136.66,983.7,2146.32,84.32,,,,,,,,,17.34,
71334,2202.45,0,0.6873,kg_kp,g-1,30.0,1.27,687.3,132.93,820.23,1673.15,75.97,,,,,,,,,9.94,
71432,849.16,0,0.35601,kg_kp,g-1,30.0,0.66,356.01,136.24,492.25,470.55,55.41,,,,,,,,,50.72,
61463,1417.48,0,0.38848,kg_kp,g-1,30.0,0.72,388.48,133.22,521.7,832.99,58.77,,,,,,,,,77.68,
73654,1932.39,0,0.45369,kg_kp,g-1,30.0,0.84,453.69,138.05,591.74,1235.59,63.94,,,,,,,,,159.14,
72561,1811.84,0,0.45196,kg_kp,g-1,30.0,0.84,451.96,132.85,584.81,1133.77,62.58,,,,,,,,4.99,144.26,
62615,152.44,0,0.05144,kg_kp,g-2,26.0,0.46,51.44,26.99,78.43,152.44000000000003,100.0,,,,,,,,,,
73751,3578.0,0,,,,,,,,,917.8,25.65,,,,,,,,,,
63979,19986.0,0,1.0,laaduton,g-3,1.0,1.0,,,,132.0,0.66,,,6.0,100.0,6.0,,,,,
53674,1949.17,0,0.11674,kg_kp,g-2,21.0,1.29,116.74,27.1,143.84,1400.6699999999998,71.86,,,,,,,,,11.58,1401.67
76878,,0,0.1835,kg,g-2,6.0,8.0,,,,,,,,,,,,,,,
62842,,0,0.88,kg,g-4,20.0,1.0,,,,,,,,,,,,,,,
67505,,0,0.42,kg,g-4,10.0,1.0,,,,,,,,,,,,,,,
76719,,0,0.025,litra,g-4,48.0,1.0,,,,,,,,,,,,,,,
59831,,0,1.0,m^2,g-3,1.0,1.0,,11.8188,11.2612,,,55080.0,,,,,1.0,2.5,,,
67152,23.92,0,0.0242,kg_kp,g-2,10.0,0.56,24.2,27.02,51.22,23.920000000000016,100.0,,,,,,,,,,
66010,418.18,0,0.01841,,g-2,21.0,0.2,18.41,,,101.44,24.26,,,,,,,,10.69,,101.44
63493,441.72,0,0.02462,,g-2,21.0,0.27,24.62,,,104.48,23.65,,,,,,,,2.46,,104.48
60665,2000.0,0,0.36069,kg_kp,g-1,30.0,0.67,,536.38,175.69,,,,,,,,,,,,
79747,16972.0,0,0.016972,m^3,g-3,9.0,0.98,12.161,11.667,23.8284,,,,,,,,,,,,
72197,,0,0.05374,kg,g-4,26.0,1.0,53.74,27.11,80.85,,,,,,,,,,,,
50030,3051.96,1,0.16545,kg_kp,g-2,26.0,1.48,165.45,26.97,192.42,2515.76,82.43,,,,,,,,18.26,380.12,2515.76
62080,1307.21,1,0.16649,kg_kp,g-2,26.0,1.49,166.49,26.96,193.45,1070.43,81.89,,,,,,,,,197.51,1070.43
70079,1643.85,1,0.13318,kg_kp,g-2,26.0,1.19,133.18,26.85,160.03,1428.25,86.88,,,,,,,,4.5,30.91,1428.25
77361,1888.27,1,0.14649,kg_kp,g-2,26.0,1.31,146.49,26.88,173.37,1666.27,88.24,,,,,,,,6.78,30.13,1666.27
65108,2994.34,1,0.16012,kg_kp,g-2,26.0,1.43,160.12,26.89,187.01,2642.14,88.24,,,,,,,,5.23,10.98,2642.14
70872,31688.0,0,0.031688,m^3,g-2,26.0,0.15,17.102,26.992,44.0944,,,31688.0,,,,,,,,,
50732,2041.54,1,0.08817,kg_kp,g-2,26.0,0.79,88.17,26.87,115.04,984.88,48.24,,,,,,,,7.72,60.15,984.88
51554,2557.87,1,0.16821,kg_kp,g-2,26.0,1.5,168.21,26.86,195.07,2045.97,79.99,,,,,,,,1.11,169.53,2045.97
65166,5431.68,0,2.00992,kg_tp,g-1,30.0,0.98,528.81,136.95,665.76,1429.08,26.31,,,,,,,,,,
65249,1496.7,1,0.12062,kg_kp,g-2,26.0,1.08,120.62,26.85,147.47,1047.51,69.99,,,,,,,,0.91,,1047.51
51392,1591.15,1,0.15071,kg_kp,g-2,26.0,1.35,150.71,26.86,177.57,1238.75,77.85,,,,,,,,1.55,,1238.75
71075,6214.0,0,0.46834,kg_tp,g-2,26.0,1.06,118.49,27.1,145.59,1572.3,25.3,,,,,,,,,,
64958,1830.36,1,0.09125,kg_kp,g-2,26.0,0.82,91.25,26.91,118.16,1301.26,71.09,,,,,,,,4.1,48.4,1301.26
64027,1833.14,1,0.14848,kg_kp,g-2,26.0,1.33,148.48,26.95,175.43,1406.44,76.72,,,,,,,,0.21,48.56,1406.44
64642,1765.24,1,0.09596,kg_kp,g-2,26.0,0.86,95.96,26.92,122.88,1004.22,56.89,,,,,,,,34.88,2.2,1004.22
80643,2373.69,1,0.1703,kg_kp,g-2,26.0,1.52,170.3,26.86,197.16,1895.09,79.84,,,,,,,,3.58,,1895.09
67096,2876.25,1,0.18255,kg_kp,g-2,26.0,1.63,182.55,26.9,209.45,2373.05,82.5,,,,,,,,2.06,,2373.04
74199,2393.04,1,0.18302,kg_kp,g-2,26.0,1.64,183.02,26.87,209.89,1962.04,81.99,,,,,,,,2.87,,1962.04
79323,3311.61,1,0.02405,kg_kp,g-2,26.0,0.22,24.05,26.94,50.99,406.28,12.27,,,,,,,,5.24,,406.28
59882,2088.4,0,0.8794,kg,g-1,30.0,1.63,879.4,133.3,1012.7,2086.6,99.91,,,,,,,,,,
78489,6214.0,0,0.46834,,g-2,26.0,1.06,118.49,,,1572.3,25.3,,,,,,,,,,
76031,,0,0.06,kg,g-4,10.0,1.0,,,,,,,,,,,,,,,
50221,5650.0,0,0.37879,kg_tp,g-2,26.0,0.9,100.91,27.03,127.94,1505.2,26.64,,,,,,,,,,
69114,,0,1.0,kg,g-4,1.0,1.0,,,,,,,,,,,,,,,
62210,,0,1.0,laaduton,g-4,1.0,0.5,,,,,,,,,,,,,,,
76991,1407.12,0,0.34868,kg_kp,g-1,30.0,0.64,348.68,132.62,481.3,522.85,37.16,,,,,,,,,13.15,509.62
67684,2393.18,0,0.59511,kg_kp,g-1,30.0,1.1,595.11,132.68,727.79,1573.21,65.74,,,,,,,,,0.75,1572.0
57355,1499.74,0,0.19686,kg_kp,g-1,30.0,0.36,196.86,132.41,329.27,300.84,20.06,,,,,,,,,2.21,300.66
64495,1621.77,0,0.41679,kg_kp,g-1,30.0,0.77,416.79,139.15,555.94,822.19,50.7,,,,,,,,,113.05,708.04
66435,1561.6,0,0.59634,kg_kp,g-1,30.0,1.1,596.34,133.11,729.45,1041.66,66.7,,,,,,,,,12.47,1040.24
77489,1973.41,0,0.48289,kg_kp,g-1,30.0,0.89,482.89,132.58,615.47,1390.6999999999998,70.47,,,,,,,,85.19,13.76,1290.9
54992,1674.93,0,0.4338,kg_kp,g-1,30.0,0.8,433.8,132.8,566.6,960.86,57.37,,,,,,,,10.85,84.97,870.8
53667,977.96,0,0.12815,kg_kp,g-1,30.0,0.24,128.15,133.68,261.83,218.43,22.34,,,,,,,,29.4,,193.98
53528,1286.83,0,0.24686,kg_kp,g-1,30.0,0.46,246.86,132.94,379.8,627.56,48.77,,,,,,,,15.42,184.78,432.93
79244,,0,1.8056,kg,g-1,30.0,1.0,,1806.6,1.0,,,,,,,,,,,,
67177,,0,1.8316,kg,g-1,30.0,3.39,1831.6,642.7,2474.3,,,,,,,,,,,,
63317,,0,1.7802,kg,g-1,30.0,3.29,1780.2,629.6,2409.8,,,,,,,,,,,,
50978,1722.0,0,0.32075,kg_kp,g-1,30.0,0.59,320.75,132.99,453.74,839.92,48.78,,,,,,,,6.76,0.14,805.58
76696,,0,0.7844,kg,g-1,30.0,1.45,784.4,642.7,1427.1,,,,,,,,,,,,
62400,,0,1.8716,kg,g-1,30.0,3.46,1871.6,642.7,2514.3,,,,,,,,,,,,
67578,,0,1.0011,kg,g-1,30.0,1.85,1001.1,635.7,1636.8,,,,,,,,,,,,
67065,,0,0.9807,kg,g-1,30.0,1.81,980.7,629.7,1610.4,,,,,,,,,,,,
63138,,0,2.0007,kg,g-1,30.0,3.7,2000.7,624.0,2624.7,,,2000.7,,,,,,,,,
75396,,0,1.3592,kg,g-1,30.0,2.51,1359.2,640.8,2000.0,,,1359.2,,,,,,,,,
54838,,0,1.3663,kg,g-1,30.0,2.53,1366.3,633.7,2000.0,,,,,,,,,,,,
59218,,0,1.371,kg,g-1,30.0,2.53,1371.0,629.0,2000.0,,,,,,,,,,,,
74920,,1,1.9885,kg,g-2,26.0,17.78,1988.5,26.8,2015.3,,,,,,,,,,,,
54914,2996.19,0,0.62817,kg_tp,g-1,30.0,0.84,454.61,133.1,587.71,2168.49,72.37,,,,,,,,,,
67675,,0,1.0,kg,g-4,5.0,0.67,,,,,,,,,,,,,,,
63324,,1,0.7931,kg,g-2,25.0,7.38,793.1,27.9,821.0,,,,,,,,,,,,
65671,,1,0.8315,kg,g-2,25.0,7.73,831.5,28.0,859.5,,,,,,,,,,,,
77734,,0,1.1747,kg,g-4,0.0,1.0,1174.7,96.7,1271.4,,,,,,,,,,,,
53834,351.4,0,0.1917,kg,g-1,30.0,0.35,191.7,133.1,324.8,339.29999999999995,102.38,,,,,,,,,,
54327,,0,1.0,laaduton,g-6,40.0,1.05,,,,,,,,,,,,,,,
71310,,0,1.0,laaduton,g-5,20.0,1.05,,,,,,,,,,,,,,,
50325,1984.1,0,0.9715,kg,g-1,30.0,1.8,971.5,136.3,1107.8,1981.7,99.88,,,,,,,,,,
